x,y,z,D_20171127,D_20171209,D_20171221,D_20180102,D_20180114,D_20180126,D_20180207,D_20180219,D_20180303,D_20180315,D_20180327,D_20180408,D_20180420,D_20180502,D_20180514,D_20180607,D_20180619,D_20180701,D_20180713,D_20180725,D_20180806,D_20180818,D_20180830,D_20180911,D_20180923,D_20181005,D_20181017,D_20181029,D_20181110,D_20181122,D_20181204,D_20181216,D_20181222,D_20181228,D_20190109,D_20190121,D_20190202,D_20190214,D_20190226,D_20190310,D_20190322,D_20190403,D_20190415,D_20190509,D_20190521,D_20190602,D_20190614,D_20190626,D_20190708,D_20190720,D_20190801,D_20190813,D_20190906,D_20190918,D_20190930,D_20191012,D_20191105,D_20191117,D_20191129,D_20191211,D_20191223,D_20200104
102.902944,29.233954,753.693054,0.000000,5.732018,5.577178,1.894252,-1.422184,-1.566807,-1.616380,0.438845,0.347204,-1.541730,-2.138929,0.472396,-9.098089,11.418241,-12.971020,-6.332502,-1.286425,-0.587354,-1.972496,6.632352,-4.512338,-0.509906,2.683095,5.348892,-1.616116,-4.707101,-3.723969,2.506617,5.584071,2.931490,-1.790145,-0.717613,0.781826,0.216181,-0.780714,1.051974,0.910304,-0.523476,1.386088,0.313259,1.655048,-1.544961,-8.498278,1.186436,-2.585885,8.391884,-1.532606,-2.732380,-0.782382,1.478037,-39.551232,11.237324,7.426727,1.740923,-3.232429,6.686016,5.192567,2.835185,2.584025,0.523845,-0.465338,0.102708
102.903110,29.233954,744.149475,0.000000,4.900373,5.583739,1.898529,-1.132875,-1.563418,-1.137769,-0.223939,0.508661,-2.298118,-1.182389,-1.202933,-7.072297,10.129637,-10.891263,-7.341298,5.769558,-1.377543,-0.982987,2.145312,1.438291,0.918290,5.707890,-6.313807,-3.678454,2.207959,9.195370,-1.806648,-0.333514,0.508754,0.497632,-1.000851,1.068946,0.934896,-0.523003,0.483696,0.897992,1.944647,-0.763584,-0.868150,-8.404107,1.018141,-1.009129,10.342413,-5.629191,-0.160447,-6.464617,-29.088245,11.197506,7.783961,2.067631,-2.505784,5.799921,4.706052,4.019068,3.276480,-0.523955,-0.008947,0.257276,1.598658,-1.156300,-4.675446
102.903277,29.233954,735.141968,0.000000,3.999186,5.395577,1.720650,-0.761649,-1.443488,-0.897057,-0.515379,0.518143,-2.549137,-0.852153,-3.118520,-3.754921,7.278042,-8.499713,-8.604766,10.257834,-1.516340,1.759815,-2.805377,1.401424,0.021031,7.379782,-7.822321,-4.708583,3.549901,8.038767,-1.504877,0.123439,0.178009,1.143259,-1.109414,0.953780,0.996957,-0.867306,0.262495,1.125158,0.609895,-0.466785,-0.209231,-6.593214,-0.126909,-0.799483,9.743489,-1.325451,0.307132,-7.431577,-26.859173,14.608171,7.554560,-0.394160,-0.987268,5.786757,3.489221,5.175648,1.706762,1.972987,-1.829010,1.040184,-0.976415,0.705044,1.904988
102.903610,29.233954,718.864807,0.000000,2.251661,3.664768,1.542440,-0.630955,-0.788379,-1.052526,-0.621643,0.311387,-2.041659,-0.233633,-5.733430,1.069210,-4.431102,-4.826318,0.526674,-0.196607,4.348338,-4.500036,-4.212919,1.030398,1.180110,2.378375,1.455154,-5.012285,-3.243810,3.168309,2.116107,2.358066,-1.542437,0.087436,0.534525,1.724288,-1.111657,0.206780,1.459104,-1.655065,1.138780,0.101025,1.789195,-1.257387,-1.040683,-4.569491,-1.132650,-0.022250,4.310935,-1.040249,8.558969,-0.952706,-0.963005,-35.321448,16.040111,6.740673,-0.784767,-5.328138,5.064280,2.330850,3.464030,1.551148,1.359553,-1.865106,0.837642
102.903777,29.233954,711.973572,0.000000,2.691164,3.605717,1.350364,-0.483019,-0.758617,-1.067852,-0.652992,0.266849,-2.187289,-0.216204,-5.760024,-0.055532,-4.000084,-2.421532,-0.983161,-0.054467,4.110418,-4.676336,-3.352258,0.364609,1.646180,2.513137,0.522443,-3.835414,-2.351361,2.521453,1.480100,2.551203,-1.448030,0.087722,0.484856,1.723008,-1.049577,0.117009,1.589449,-1.784885,1.086298,-0.036238,1.598395,-0.795426,-0.953756,-3.850737,-1.226152,-0.260607,6.923489,-0.302795,5.914931,-34.470828,14.321731,6.340469,-0.096596,-6.448436,4.193964,2.777699,2.451697,1.547139,1.048276,-1.795159,0.738199,-0.443307,1.277630
102.903944,29.233954,705.833435,0.000000,2.545327,3.529649,1.381337,-0.288792,-1.010613,-0.907946,-0.830540,0.160043,-2.184544,-0.959789,-3.075506,-1.790325,-1.813436,-3.995897,2.183702,-2.952463,0.506133,3.010450,-6.280080,-2.381165,-0.259606,1.309048,3.650781,-1.007845,-3.071391,-1.517283,1.290413,1.334586,2.985590,-1.199692,0.455196,-0.087338,2.031485,-1.313394,0.124984,1.554777,-1.522590,1.348897,0.100588,0.720758,-0.501527,-1.893485,-3.129693,-2.022013,-0.506113,9.901313,0.446938,7.981116,-27.371969,3.678900,6.990139,-1.747172,-5.164764,4.755575,3.033995,1.729248,1.898696,1.046213,-1.442990,0.472329,-0.412898
102.904110,29.233954,700.243530,0.000000,2.594942,3.390074,1.347597,-0.234225,-0.964659,-0.377738,-1.168878,0.253554,-2.885039,-3.883361,-1.313011,-2.678562,-5.267493,6.014354,-2.998243,-0.398395,2.264049,-3.042169,0.832621,0.647416,0.727518,1.605185,-0.141628,-3.859776,0.001015,0.674593,0.700238,3.005331,-1.009054,1.140275,-0.868949,2.375554,-1.553560,0.305403,1.203707,-1.017914,1.831261,-0.113795,0.423807,-0.423998,-2.130178,-3.125720,-1.930937,-0.352001,11.771034,6.882470,-0.696305,0.329396,-21.648941,7.780341,-4.598161,-2.748058,4.399709,3.469251,2.746464,1.231191,0.148165,0.040624,-0.267233,-0.478224,-1.435549
102.904277,29.233954,694.136719,0.000000,2.484478,3.241741,1.292444,-0.170522,-0.752835,0.041944,-1.814167,0.326223,-3.299676,-2.867356,-2.170839,-3.866060,-2.683159,2.906708,-2.928134,0.059234,2.368196,-2.477391,2.111763,1.214072,0.525757,-0.047980,0.231777,-3.820802,-0.176650,0.526374,0.090367,3.495943,-1.628549,1.287157,-0.756957,2.299021,-1.774173,0.553162,1.109409,-0.739190,2.186107,-0.260675,0.456928,-0.703509,-2.820340,-3.325367,-1.918364,-0.486914,9.903007,-3.005814,10.033312,-0.999270,1.604841,-21.364301,7.281589,-3.880955,-3.777746,5.504238,3.137077,2.991019,1.059658,1.543891,-1.247039,0.907014,-0.533736
102.904444,29.233954,688.159241,0.000000,2.399919,3.064066,1.139758,-0.184216,-0.430563,-0.032332,-1.827813,0.452646,-5.748724,-3.455105,-2.141714,-1.595958,-1.627805,-0.892066,1.143918,3.102093,-2.486459,2.598741,1.018081,1.480418,-1.712993,0.543759,-4.380411,-0.071981,0.640227,-0.264264,3.568348,-1.789540,0.871853,-0.209180,1.957218,-1.624455,1.016746,0.532972,-0.557835,2.191204,-0.404414,0.547750,-0.652961,-2.449356,-3.376033,-2.093416,0.213369,6.839951,-3.742546,11.052989,-1.486615,2.510693,-15.086510,-6.468789,5.558490,-1.915444,-5.817655,6.060118,2.985517,2.414705,0.780784,0.783230,-0.666669,1.445228,-0.717371
102.904610,29.233954,682.645142,0.000000,2.159637,2.991525,0.819533,0.202378,-0.169189,-0.078272,-1.522783,0.503440,-5.972537,-0.663295,-4.160496,-0.049216,-0.782111,-6.386170,-1.537209,1.703572,3.447672,-3.346891,2.648316,0.154806,2.027171,-1.610614,1.073704,-4.869196,-0.804863,0.963921,0.399838,2.748170,-1.454542,-0.340368,0.651142,2.061747,-1.475512,1.284975,0.604057,-0.443832,2.223083,-0.268076,0.279912,-0.632106,-1.829450,-3.638823,-2.093400,1.005692,6.132365,-2.957873,9.250552,3.023793,-28.333822,6.785467,4.041769,0.390052,-6.991799,6.814081,2.862475,1.833454,0.375899,-0.254689,0.247744,1.552555,-0.525285
